id,kanji,yomi,flag_1年生,flag_2年生,flag_3年生,flag_4年生,flag_5年生,flag_6年生,flag_BLEACH,flag_四字熟語,flag_難読,flag_地名,flag_ファントムシータ,note
510,有名,ゆうめい,,,1,,,,,,,,,基本語
511,遊具,ゆうぐ,,,1,,,,,,,,,基本語
512,予習,よしゅう,,,1,,,,,,,,,基本語
513,羊毛,ようもう,,,1,,,,,,,,,基本語
514,洋服,ようふく,,,1,,,,,,,,,基本語
515,葉書,はがき,,,1,,,,,,,,,基本語
516,陽気,ようき,,,1,,,,,,,,,基本語
517,様子,ようす,,,1,,,,,,,,,基本語
518,落葉,らくよう,,,1,,,,,,,,,基本語
519,流行,りゅうこう,,,1,,,,,,,,,基本語
520,旅行,りょこう,,,1,,,,,,,,,基本語
521,両手,りょうて,,,1,,,,,,,,,基本語
522,緑茶,りょくちゃ,,,1,,,,,,,,,基本語
523,礼儀,れいぎ,,,1,,,,,,,,,基本語
524,列車,れっしゃ,,,1,,,,,,,,,基本語
525,練習,れんしゅう,,,1,,,,,,,,,基本語
526,路面,ろめん,,,1,,,,,,,,,基本語
527,和室,わしつ,,,1,,,,,,,,,基本語
528,愛情,あいじょう,,,,1,,,,,,,,基本語
529,案内,あんない,,,,1,,,,,,,,基本語
530,以後,いご,,,,1,,,,,,,,基本語
531,衣服,いふく,,,,1,,,,,,,,基本語
532,位階,いかい,,,,1,,,,,,,,基本語
533,茨城,いばらき,,,,1,,,,,,1,,基本語
534,印刷,いんさつ,,,,1,,,,,,,,基本語
535,英語,えいご,,,,1,,,,,,,,基本語
536,栄養,えいよう,,,,1,,,,,,,,基本語
537,塩分,えんぶん,,,,1,,,,,,,,基本語
538,億円,おくえん,,,,1,,,,,,,,基本語
539,加減,かげん,,,,1,,,,,,,,基本語
540,果実,かじつ,,,,1,,,,,,,,基本語
541,貨物,かもつ,,,,1,,,,,,,,基本語
542,課題,かだい,,,,1,,,,,,,,基本語
543,芽生え,めばえ,,,,1,,,,,,,,基本語
544,改札,かいさつ,,,,1,,,,,,,,基本語
545,械器,かいき,,,,1,,,,,,,,基本語
546,害虫,がいちゅう,,,,1,,,,,,,,基本語
547,街路,がいろ,,,,1,,,,,,,,基本語
548,各自,かくじ,,,,1,,,,,,,,基本語
549,覚悟,かくご,,,,1,,,,,,,,基本語
550,完了,かんりょう,,,,1,,,,,,,,基本語
551,官庁,かんちょう,,,,1,,,,,,,,基本語
552,管内,かんない,,,,1,,,,,,,,基本語
553,関係,かんけい,,,,1,,,,,,,,基本語
554,観察,かんさつ,,,,1,,,,,,,,基本語
555,願書,がんしょ,,,,1,,,,,,,,基本語
556,希少,きしょう,,,,1,,,,,,,,基本語
557,季節,きせつ,,,,1,,,,,,,,基本語
558,紀行,きこう,,,,1,,,,,,,,基本語
559,喜劇,きげき,,,,1,,,,,,,,基本語
560,旗手,きしゅ,,,,1,,,,,,,,基本語
561,器具,きぐ,,,,1,,,,,,,,基本語
562,機械,きかい,,,,1,,,,,,,,基本語
563,議会,ぎかい,,,,1,,,,,,,,基本語
564,求職,きゅうしょく,,,,1,,,,,,,,基本語
565,泣き声,なきごえ,,,,1,,,,,,,,基本語
566,救助,きゅうじょ,,,,1,,,,,,,,基本語
567,給食,きゅうしょく,,,,1,,,,,,,,基本語
568,挙手,きょしゅ,,,,1,,,,,,,,基本語
569,漁港,ぎょこう,,,,1,,,,,,,,基本語
570,共通,きょうつう,,,,1,,,,,,,,基本語
571,協力,きょうりょく,,,,1,,,,,,,,基本語
572,鏡面,きょうめん,,,,1,,,,,,,,基本語
573,競走,きょうそう,,,,1,,,,,,,,基本語
574,極地,きょくち,,,,1,,,,,,,,基本語
575,訓練,くんれん,,,,1,,,,,,,,基本語
576,軍隊,ぐんたい,,,,1,,,,,,,,基本語
577,郡部,ぐんぶ,,,,1,,,,,,,,基本語
578,径路,けいろ,,,,1,,,,,,,,基本語
579,型式,けいしき,,,,1,,,,,,,,基本語
580,景色,けしき,,,,1,,,,,,,,基本語
581,芸術,げいじゅつ,,,,1,,,,,,,,基本語
582,欠席,けっせき,,,,1,,,,,,,,基本語
583,結合,けつごう,,,,1,,,,,,,,基本語
584,建物,たてもの,,,,1,,,,,,,,基本語
585,健康,けんこう,,,,1,,,,,,,,基本語
586,験算,けんざん,,,,1,,,,,,,,基本語
587,固体,こたい,,,,1,,,,,,,,基本語
588,功績,こうせき,,,,1,,,,,,,,基本語
589,好意,こうい,,,,1,,,,,,,,基本語
590,候補,こうほ,,,,1,,,,,,,,基本語
591,航海,こうかい,,,,1,,,,,,,,基本語
592,康復,こうふく,,,,1,,,,,,,,基本語
593,告白,こくはく,,,,1,,,,,,,,基本語
594,差額,さがく,,,,1,,,,,,,,基本語
595,菜園,さいえん,,,,1,,,,,,,,基本語
596,最初,さいしょ,,,,1,,,,,,,,基本語
597,材料,ざいりょう,,,,1,,,,,,,,基本語
598,昨年,さくねん,,,,1,,,,,,,,基本語
599,札束,さつたば,,,,1,,,,,,,,基本語
600,刷毛,はけ,,,,1,,,,,,,,基本語
601,察知,さっち,,,,1,,,,,,,,基本語
602,参照,さんしょう,,,,1,,,,,,,,基本語
603,産地,さんち,,,,1,,,,,,,,基本語
604,散歩,さんぽ,,,,1,,,,,,,,基本語
605,残業,ざんぎょう,,,,1,,,,,,,,基本語
606,司会,しかい,,,,1,,,,,,,,基本語
607,試験,しけん,,,,1,,,,,,,,基本語
608,児童,じどう,,,,1,,,,,,,,基本語
609,治療,ちりょう,,,,1,,,,,,,,基本語
610,辞書,じしょ,,,,1,,,,,,,,基本語
611,失敗,しっぱい,,,,1,,,,,,,,基本語
612,借用,しゃくよう,,,,1,,,,,,,,基本語
613,種目,しゅもく,,,,1,,,,,,,,基本語
614,周囲,しゅうい,,,,1,,,,,,,,基本語
615,祝日,しゅくじつ,,,,1,,,,,,,,基本語
616,順番,じゅんばん,,,,1,,,,,,,,基本語
617,初回,しょかい,,,,1,,,,,,,,基本語
618,松林,まつばやし,,,,1,,,,,,,,基本語
619,笑顔,えがお,,,,1,,,,,,,,基本語
620,唱歌,しょうか,,,,1,,,,,,,,基本語
621,焼肉,やきにく,,,,1,,,,,,,,基本語
622,照明,しょうめい,,,,1,,,,,,,,基本語
623,賞品,しょうひん,,,,1,,,,,,,,基本語
624,臣下,しんか,,,,1,,,,,,,,基本語
625,信号,しんごう,,,,1,,,,,,,,基本語
626,成長,せいちょう,,,,1,,,,,,,,基本語
627,省略,しょうりゃく,,,,1,,,,,,,,基本語
628,清水,しみず,,,,1,,,,,,,,基本語
629,静脈,じょうみゃく,,,,1,,,,,,,,基本語
630,席順,せきじゅん,,,,1,,,,,,,,基本語
631,積雪,せきせつ,,,,1,,,,,,,,基本語
632,折紙,おりがみ,,,,1,,,,,,,,基本語
633,節分,せつぶん,,,,1,,,,,,,,基本語
634,説明,せつめい,,,,1,,,,,,,,基本語
635,浅瀬,あさせ,,,,1,,,,,,,,基本語
636,戦争,せんそう,,,,1,,,,,,,,基本語
637,選手,せんしゅ,,,,1,,,,,,,,基本語
638,倉庫,そうこ,,,,1,,,,,,,,基本語
639,巣箱,すばこ,,,,1,,,,,,,,基本語
640,争点,そうてん,,,,1,,,,,,,,基本語
641,側面,そくめん,,,,1,,,,,,,,基本語
642,束縛,そくばく,,,,1,,,,,,,,基本語
643,続行,ぞっこう,,,,1,,,,,,,,基本語
644,卒業,そつぎょう,,,,1,,,,,,,,基本語
645,孫娘,まごむすめ,,,,1,,,,,,,,基本語
646,帯電,たいでん,,,,1,,,,,,,,基本語
647,隊長,たいちょう,,,,1,,,,,,,,基本語
648,達人,たつじん,,,,1,,,,,,,,基本語
649,単語,たんご,,,,1,,,,,,,,基本語
650,置物,おきもの,,,,1,,,,,,,,基本語
651,仲間,なかま,,,,1,,,,,,,,基本語
652,貯金,ちょきん,,,,1,,,,,,,,基本語
653,兆候,ちょうこう,,,,1,,,,,,,,基本語
654,低温,ていおん,,,,1,,,,,,,,基本語
655,底力,そこぢから,,,,1,,,,,,,,基本語
656,停車,ていしゃ,,,,1,,,,,,,,基本語
657,的中,てきちゅう,,,,1,,,,,,,,基本語
658,典型,てんけい,,,,1,,,,,,,,基本語
659,伝言,でんごん,,,,1,,,,,,,,基本語
660,徒競走,ときょうそう,,,,1,,,,,,,,基本語
661,努力,どりょく,,,,1,,,,,,,,基本語
662,灯台,とうだい,,,,1,,,,,,,,基本語
663,堂々,どうどう,,,,1,,,,,,,,基本語
664,働き手,はたらきて,,,,1,,,,,,,,基本語
665,特急,とっきゅう,,,,1,,,,,,,,基本語
666,得点,とくてん,,,,1,,,,,,,,基本語
667,毒薬,どくやく,,,,1,,,,,,,,基本語
668,熱心,ねっしん,,,,1,,,,,,,,基本語
669,念願,ねんがん,,,,1,,,,,,,,基本語
670,敗戦,はいせん,,,,1,,,,,,,,基本語
671,梅雨,つゆ,,,,1,,,,,1,,,基本語
672,博物館,はくぶつかん,,,,1,,,,,,,,基本語
673,飯店,はんてん,,,,1,,,,,,,,基本語
674,飛行,ひこう,,,,1,,,,,,,,基本語
675,必死,ひっし,,,,1,,,,,,,,基本語
676,票数,ひょうすう,,,,1,,,,,,,,基本語
677,標準,ひょうじゅん,,,,1,,,,,,,,基本語
678,不安,ふあん,,,,1,,,,,,,,基本語
679,夫婦,ふうふ,,,,1,,,,,,,,基本語
680,付近,ふきん,,,,1,,,,,,,,基本語
681,府県,ふけん,,,,1,,,,,,,,基本語
682,副題,ふくだい,,,,1,,,,,,,,基本語
683,粉雪,こなゆき,,,,1,,,,,,,,基本語
684,兵士,へいし,,,,1,,,,,,,,基本語
685,別紙,べっし,,,,1,,,,,,,,基本語
686,辺境,へんきょう,,,,1,,,,,,,,基本語
687,変化,へんか,,,,1,,,,,,,,基本語
688,便所,べんじょ,,,,1,,,,,,,,基本語
689,包帯,ほうたい,,,,1,,,,,,,,基本語
690,法則,ほうそく,,,,1,,,,,,,,基本語
691,望遠鏡,ぼうえんきょう,,,,1,,,,,,,,基本語
692,牧場,ぼくじょう,,,,1,,,,,,,,基本語
693,末日,まつじつ,,,,1,,,,,,,,基本語
694,満点,まんてん,,,,1,,,,,,,,基本語
695,未定,みてい,,,,1,,,,,,,,基本語
696,脈拍,みゃくはく,,,,1,,,,,,,,基本語
697,民家,みんか,,,,1,,,,,,,,基本語
698,無言,むごん,,,,1,,,,,,,,基本語
699,約束,やくそく,,,,1,,,,,,,,基本語
700,勇気,ゆうき,,,,1,,,,,,,,基本語
701,要点,ようてん,,,,1,,,,,,,,基本語
702,養分,ようぶん,,,,1,,,,,,,,基本語
703,浴室,よくしつ,,,,1,,,,,,,,基本語
704,利点,りてん,,,,1,,,,,,,,基本語
705,陸上,りくじょう,,,,1,,,,,,,,基本語
706,良好,りょうこう,,,,1,,,,,,,,基本語
707,料亭,りょうてい,,,,1,,,,,,,,基本語
708,量産,りょうさん,,,,1,,,,,,,,基本語
709,輪郭,りんかく,,,,1,,,,,,,,基本語
710,類語,るいご,,,,1,,,,,,,,基本語
711,令和,れいわ,,,,1,,,,,,,,基本語
712,冷水,れいすい,,,,1,,,,,,,,基本語
713,例題,れいだい,,,,1,,,,,,,,基本語
714,歴史,れきし,,,,1,,,,,,,,基本語
715,連絡,れんらく,,,,1,,,,,,,,基本語
716,老後,ろうご,,,,1,,,,,,,,基本語
717,労働,ろうどう,,,,1,,,,,,,,基本語
718,録音,ろくおん,,,,1,,,,,,,,基本語
719,圧力,あつりょく,,,,,1,,,,,,,基本語
720,移動,いどう,,,,,1,,,,,,,基本語
721,因果,いんが,,,,,1,,,,,,,基本語
722,永遠,えいえん,,,,,1,,,,,,,基本語
723,営利,えいり,,,,,1,,,,,,,基本語
724,衛生,えいせい,,,,,1,,,,,,,基本語
725,易者,えきしゃ,,,,,1,,,,,,,基本語
726,益虫,えきちゅう,,,,,1,,,,,,,基本語
727,液体,えきたい,,,,,1,,,,,,,基本語
728,演技,えんぎ,,,,,1,,,,,,,基本語
729,応答,おうとう,,,,,1,,,,,,,基本語
730,往復,おうふく,,,,,1,,,,,,,基本語
731,桜色,さくらいろ,,,,,1,,,,,,,基本語
732,恩人,おんじん,,,,,1,,,,,,,基本語
733,可否,かひ,,,,,1,,,,,,,基本語
734,仮名,かな,,,,,1,,,,,,,基本語
735,価値,かち,,,,,1,,,,,,,基本語
736,河川,かせん,,,,,1,,,,,,,基本語
737,過去,かこ,,,,,1,,,,,,,基本語
738,賀状,がじょう,,,,,1,,,,,,,基本語
739,快晴,かいせい,,,,,1,,,,,,,基本語
740,解答,かいとう,,,,,1,,,,,,,基本語
741,格別,かくべつ,,,,,1,,,,,,,基本語
742,確実,かくじつ,,,,,1,,,,,,,基本語
743,額面,がくめん,,,,,1,,,,,,,基本語
744,刊行,かんこう,,,,,1,,,,,,,基本語
745,幹部,かんぶ,,,,,1,,,,,,,基本語
746,慣例,かんれい,,,,,1,,,,,,,基本語
747,眼科,がんか,,,,,1,,,,,,,基本語
748,基準,きじゅん,,,,,1,,,,,,,基本語
749,寄付,きふ,,,,,1,,,,,,,基本語
750,規則,きそく,,,,,1,,,,,,,基本語
751,技術,ぎじゅつ,,,,,1,,,,,,,基本語
752,義理,ぎり,,,,,1,,,,,,,基本語
753,逆転,ぎゃくてん,,,,,1,,,,,,,基本語
754,久遠,くおん,,,,,1,,,,,,,基本語
755,旧友,きゅうゆう,,,,,1,,,,,,,基本語
756,居住,きょじゅう,,,,,1,,,,,,,基本語
757,許可,きょか,,,,,1,,,,,,,基本語
758,境界,きょうかい,,,,,1,,,,,,,基本語
759,均等,きんとう,,,,,1,,,,,,,基本語
760,禁煙,きんえん,,,,,1,,,,,,,基本語
761,句読点,くとうてん,,,,,1,,,,,,,基本語
762,群衆,ぐんしゅう,,,,,1,,,,,,,基本語
763,経営,けいえい,,,,,1,,,,,,,基本語
764,潔白,けっぱく,,,,,1,,,,,,,基本語
765,件名,けんめい,,,,,1,,,,,,,基本語
766,券売機,けんばいき,,,,,1,,,,,,,基本語
767,険悪,けんあく,,,,,1,,,,,,,基本語
768,検査,けんさ,,,,,1,,,,,,,基本語
769,限度,げんど,,,,,1,,,,,,,基本語
770,現実,げんじつ,,,,,1,,,,,,,基本語
771,減点,げんてん,,,,,1,,,,,,,基本語
772,故障,こしょう,,,,,1,,,,,,,基本語
773,個人,こじん,,,,,1,,,,,,,基本語
774,護身,ごしん,,,,,1,,,,,,,基本語
775,効率,こうりつ,,,,,1,,,,,,,基本語
776,厚意,こうい,,,,,1,,,,,,,基本語
777,耕作,こうさく,,,,,1,,,,,,,基本語
778,鉱山,こうざん,,,,,1,,,,,,,基本語
779,構造,こうぞう,,,,,1,,,,,,,基本語
780,興味,きょうみ,,,,,1,,,,,,,基本語
781,講演,こうえん,,,,,1,,,,,,,基本語
782,混雑,こんざつ,,,,,1,,,,,,,基本語
783,査定,さてい,,,,,1,,,,,,,基本語
784,再開,さいかい,,,,,1,,,,,,,基本語
785,災害,さいがい,,,,,1,,,,,,,基本語
786,妻子,さいし,,,,,1,,,,,,,基本語
787,採点,さいてん,,,,,1,,,,,,,基本語
788,際限,さいげん,,,,,1,,,,,,,基本語
789,在庫,ざいこ,,,,,1,,,,,,,基本語
790,財産,ざいさん,,,,,1,,,,,,,基本語
791,罪悪,ざいあく,,,,,1,,,,,,,基本語
792,殺菌,さっきん,,,,,1,,,,,,,基本語
793,雑談,ざつだん,,,,,1,,,,,,,基本語
794,酸性,さんせい,,,,,1,,,,,,,基本語
795,賛成,さんせい,,,,,1,,,,,,,基本語
796,支援,しえん,,,,,1,,,,,,,基本語
797,志望,しぼう,,,,,1,,,,,,,基本語
798,枝葉,えだは,,,,,1,,,,,,,基本語
799,師弟,してい,,,,,1,,,,,,,基本語
800,資源,しげん,,,,,1,,,,,,,基本語
801,飼育,しいく,,,,,1,,,,,,,基本語
802,示談,じだん,,,,,1,,,,,,,基本語
803,似顔絵,にがおえ,,,,,1,,,,,,,基本語
804,識別,しきべつ,,,,,1,,,,,,,基本語
805,質疑,しつぎ,,,,,1,,,,,,,基本語
806,舎弟,しゃてい,,,,,1,,,,,,,基本語
807,謝礼,しゃれい,,,,,1,,,,,,,基本語
808,授業,じゅぎょう,,,,,1,,,,,,,基本語
809,修理,しゅうり,,,,,1,,,,,,,基本語
810,述語,じゅつご,,,,,1,,,,,,,基本語
811,術式,じゅつしき,,,,,1,,,,,,,基本語
812,準備,じゅんび,,,,,1,,,,,,,基本語
813,序文,じょぶん,,,,,1,,,,,,,基本語
814,招待,しょうたい,,,,,1,,,,,,,基本語
815,承認,しょうにん,,,,,1,,,,,,,基本語
816,証明,しょうめい,,,,,1,,,,,,,基本語
817,象形,しょうけい,,,,,1,,,,,,,基本語
818,賞状,しょうじょう,,,,,1,,,,,,,基本語
819,条文,じょうぶん,,,,,1,,,,,,,基本語
820,状況,じょうきょう,,,,,1,,,,,,,基本語
821,常温,じょうおん,,,,,1,,,,,,,基本語
822,織物,おりもの,,,,,1,,,,,,,基本語
823,職員,しょくいん,,,,,1,,,,,,,基本語
824,制限,せいげん,,,,,1,,,,,,,基本語
825,性格,せいかく,,,,,1,,,,,,,基本語
826,政令,せいれい,,,,,1,,,,,,,基本語
827,勢力,せいりょく,,,,,1,,,,,,,基本語
828,精度,せいど,,,,,1,,,,,,,基本語
829,製造,せいぞう,,,,,1,,,,,,,基本語
830,税金,ぜいきん,,,,,1,,,,,,,基本語
831,責任,せきにん,,,,,1,,,,,,,基本語
832,績表,せきひょう,,,,,1,,,,,,,基本語
833,接続,せつぞく,,,,,1,,,,,,,基本語
834,設計,せっけい,,,,,1,,,,,,,基本語
835,絶対,ぜったい,,,,,1,,,,,,,基本語
836,祖先,そせん,,,,,1,,,,,,,基本語
837,素直,すなお,,,,,1,,,,,,,基本語
838,総合,そうごう,,,,,1,,,,,,,基本語
839,造船,ぞうせん,,,,,1,,,,,,,基本語
840,像面,ぞうめん,,,,,1,,,,,,,基本語
841,増加,ぞうか,,,,,1,,,,,,,基本語
842,則定,そくてい,,,,,1,,,,,,,基本語
843,測定,そくてい,,,,,1,,,,,,,基本語
844,属人,ぞくじん,,,,,1,,,,,,,基本語
845,率直,そっちょく,,,,,1,,,,,,,基本語
846,損害,そんがい,,,,,1,,,,,,,基本語
847,退場,たいじょう,,,,,1,,,,,,,基本語
848,貸出,かしだし,,,,,1,,,,,,,基本語
849,態度,たいど,,,,,1,,,,,,,基本語
850,団体,だんたい,,,,,1,,,,,,,基本語
851,断線,だんせん,,,,,1,,,,,,,基本語
852,築地,つきじ,,,,,1,,,,,,,基本語
853,貯蔵,ちょぞう,,,,,1,,,,,,,基本語
854,張力,ちょうりょく,,,,,1,,,,,,,基本語
855,提案,ていあん,,,,,1,,,,,,,基本語
856,程遠い,ほどとおい,,,,,1,,,,,,,基本語
857,適切,てきせつ,,,,,1,,,,,,,基本語
858,敵味方,てきみかた,,,,,1,,,,,,,基本語
859,統計,とうけい,,,,,1,,,,,,,基本語
860,銅像,どうぞう,,,,,1,,,,,,,基本語
861,導入,どうにゅう,,,,,1,,,,,,,基本語
862,徳用,とくよう,,,,,1,,,,,,,基本語
863,独自,どくじ,,,,,1,,,,,,,基本語
864,任務,にんむ,,,,,1,,,,,,,基本語
865,燃料,ねんりょう,,,,,1,,,,,,,基本語
866,能率,のうりつ,,,,,1,,,,,,,基本語
867,破損,はそん,,,,,1,,,,,,,基本語
868,犯人,はんにん,,,,,1,,,,,,,基本語
869,判定,はんてい,,,,,1,,,,,,,基本語
870,版画,はんが,,,,,1,,,,,,,基本語
871,比率,ひりつ,,,,,1,,,,,,,基本語
872,肥料,ひりょう,,,,,1,,,,,,,基本語
873,非難,ひなん,,,,,1,,,,,,,基本語
874,備品,びひん,,,,,1,,,,,,,基本語
875,俵物,ひょうもの,,,,,1,,,,,,,基本語
876,評判,ひょうばん,,,,,1,,,,,,,基本語
877,貧血,ひんけつ,,,,,1,,,,,,,基本語
878,布地,ぬのじ,,,,,1,,,,,,,基本語
879,婦人,ふじん,,,,,1,,,,,,,基本語
880,武士,ぶし,,,,,1,,,,,,,基本語
881,復習,ふくしゅう,,,,,1,,,,,,,基本語
882,複数,ふくすう,,,,,1,,,,,,,基本語
883,仏像,ぶつぞう,,,,,1,,,,,,,基本語
884,編成,へんせい,,,,,1,,,,,,,基本語
885,弁当,べんとう,,,,,1,,,,,,,基本語
886,保護,ほご,,,,,1,,,,,,,基本語
887,墓地,ぼち,,,,,1,,,,,,,基本語
888,報告,ほうこく,,,,,1,,,,,,,基本語
889,豊作,ほうさく,,,,,1,,,,,,,基本語
890,防災,ぼうさい,,,,,1,,,,,,,基本語
891,貿易,ぼうえき,,,,,1,,,,,,,基本語
892,暴風,ぼうふう,,,,,1,,,,,,,基本語
893,務所,むしょ,,,,,1,,,,,,,基本語
894,夢中,むちゅう,,,,,1,,,,,,,基本語
895,迷路,めいろ,,,,,1,,,,,,,基本語
896,綿花,めんか,,,,,1,,,,,,,基本語
897,輸送,ゆそう,,,,,1,,,,,,,基本語
898,余分,よぶん,,,,,1,,,,,,,基本語
899,預金,よきん,,,,,1,,,,,,,基本語
900,容器,ようき,,,,,1,,,,,,,基本語
901,略語,りゃくご,,,,,1,,,,,,,基本語
902,留学,りゅうがく,,,,,1,,,,,,,基本語
903,領域,りょういき,,,,,1,,,,,,,基本語
904,異常,いじょう,,,,,,1,,,,,,基本語
905,遺産,いさん,,,,,,1,,,,,,基本語
906,域内,いきない,,,,,,1,,,,,,基本語
907,宇宙,うちゅう,,,,,,1,,,,,,基本語
908,映像,えいぞう,,,,,,1,,,,,,基本語
909,延長,えんちょう,,,,,,1,,,,,,基本語
910,沿線,えんせん,,,,,,1,,,,,,基本語
911,我慢,がまん,,,,,,1,,,,,,基本語
912,灰色,はいいろ,,,,,,1,,,,,,基本語
913,拡大,かくだい,,,,,,1,,,,,,基本語
914,革新,かくしん,,,,,,1,,,,,,基本語
915,閣議,かくぎ,,,,,,1,,,,,,基本語
916,割引,わりびき,,,,,,1,,,,,,基本語
917,株式,かぶしき,,,,,,1,,,,,,基本語
918,干潮,かんちょう,,,,,,1,,,,,,基本語
919,巻物,まきもの,,,,,,1,,,,,,基本語
920,看護,かんご,,,,,,1,,,,,,基本語
921,簡単,かんたん,,,,,,1,,,,,,基本語
922,危険,きけん,,,,,,1,,,,,,基本語
923,机上,きじょう,,,,,,1,,,,,,基本語
924,貴重,きちょう,,,,,,1,,,,,,基本語
925,疑問,ぎもん,,,,,,1,,,,,,基本語
926,吸収,きゅうしゅう,,,,,,1,,,,,,基本語
927,供給,きょうきゅう,,,,,,1,,,,,,基本語
928,胸部,きょうぶ,,,,,,1,,,,,,基本語
929,郷土,きょうど,,,,,,1,,,,,,基本語
930,勤勉,きんべん,,,,,,1,,,,,,基本語
931,筋肉,きんにく,,,,,,1,,,,,,基本語
932,系統,けいとう,,,,,,1,,,,,,基本語
933,敬語,けいご,,,,,,1,,,,,,基本語
934,警備,けいび,,,,,,1,,,,,,基本語
935,劇場,げきじょう,,,,,,1,,,,,,基本語
936,激流,げきりゅう,,,,,,1,,,,,,基本語
937,穴場,あなば,,,,,,1,,,,,,基本語
938,絹糸,きぬいと,,,,,,1,,,,,,基本語
939,権限,けんげん,,,,,,1,,,,,,基本語
940,憲法,けんぽう,,,,,,1,,,,,,基本語
941,厳重,げんじゅう,,,,,,1,,,,,,基本語
942,源流,げんりゅう,,,,,,1,,,,,,基本語
943,呼吸,こきゅう,,,,,,1,,,,,,基本語
944,誤差,ごさ,,,,,,1,,,,,,基本語
945,己心,こしん,,,,,,1,,,,,,基本語
946,后妃,こうひ,,,,,,1,,,,,,基本語
947,孝行,こうこう,,,,,,1,,,,,,基本語
948,皇室,こうしつ,,,,,,1,,,,,,基本語
949,紅茶,こうちゃ,,,,,,1,,,,,,基本語
950,降雨,こうう,,,,,,1,,,,,,基本語
951,鋼鉄,こうてつ,,,,,,1,,,,,,基本語
952,刻印,こくいん,,,,,,1,,,,,,基本語
953,穀物,こくもつ,,,,,,1,,,,,,基本語
954,骨折,こっせつ,,,,,,1,,,,,,基本語
955,困難,こんなん,,,,,,1,,,,,,基本語
956,砂糖,さとう,,,,,,1,,,,,,基本語
957,座席,ざせき,,,,,,1,,,,,,基本語
958,済印,すみいん,,,,,,1,,,,,,基本語
959,裁判,さいばん,,,,,,1,,,,,,基本語
960,策定,さくてい,,,,,,1,,,,,,基本語
961,冊子,さっし,,,,,,1,,,,,,基本語
962,蚕糸,さんし,,,,,,1,,,,,,基本語
963,至急,しきゅう,,,,,,1,,,,,,基本語
964,私物,しぶつ,,,,,,1,,,,,,基本語
965,姿勢,しせい,,,,,,1,,,,,,基本語
966,視線,しせん,,,,,,1,,,,,,基本語
967,詞章,ししょう,,,,,,1,,,,,,基本語
968,誌面,しめん,,,,,,1,,,,,,基本語
969,磁石,じしゃく,,,,,,1,,,,,,基本語
970,射的,しゃてき,,,,,,1,,,,,,基本語
971,捨身,しゃしん,,,,,,1,,,,,,基本語
972,尺八,しゃくはち,,,,,,1,,,,,,基本語
973,若者,わかもの,,,,,,1,,,,,,基本語
974,樹木,じゅもく,,,,,,1,,,,,,基本語
975,収集,しゅうしゅう,,,,,,1,,,,,,基本語
976,宗教,しゅうきょう,,,,,,1,,,,,,基本語
977,就任,しゅうにん,,,,,,1,,,,,,基本語
978,衆人,しゅうじん,,,,,,1,,,,,,基本語
979,従業,じゅうぎょう,,,,,,1,,,,,,基本語
980,縦断,じゅうだん,,,,,,1,,,,,,基本語
981,縮小,しゅくしょう,,,,,,1,,,,,,基本語
982,熟語,じゅくご,,,,,,1,,,,,,基本語
983,純金,じゅんきん,,,,,,1,,,,,,基本語
984,処理,しょり,,,,,,1,,,,,,基本語
985,署名,しょめい,,,,,,1,,,,,,基本語
986,諸国,しょこく,,,,,,1,,,,,,基本語
987,除外,じょがい,,,,,,1,,,,,,基本語
988,承諾,しょうだく,,,,,,1,,,,,,基本語
989,将来,しょうらい,,,,,,1,,,,,,基本語
990,傷口,きずぐち,,,,,,1,,,,,,基本語
991,障害,しょうがい,,,,,,1,,,,,,基本語
992,城下,じょうか,,,,,,1,,,,,,基本語
993,蒸気,じょうき,,,,,,1,,,,,,基本語
994,針金,はりがね,,,,,,1,,,,,,基本語
995,仁義,じんぎ,,,,,,1,,,,,,基本語
996,垂直,すいちょく,,,,,,1,,,,,,基本語
997,推理,すいり,,,,,,1,,,,,,基本語
998,寸法,すんぽう,,,,,,1,,,,,,基本語
999,盛大,せいだい,,,,,,1,,,,,,基本語
1000,聖地,せいち,,,,,,1,,,,,,基本語
1001,誠意,せいい,,,,,,1,,,,,,基本語
1002,宣言,せんげん,,,,,,1,,,,,,基本語
1003,専用,せんよう,,,,,,1,,,,,,基本語
1004,泉水,せんすい,,,,,,1,,,,,,基本語
1005,洗剤,せんざい,,,,,,1,,,,,,基本語
1006,染色,せんしょく,,,,,,1,,,,,,基本語
1007,善悪,ぜんあく,,,,,,1,,,,,,基本語
1008,奏者,そうしゃ,,,,,,1,,,,,,基本語
1009,窓口,まどぐち,,,,,,1,,,,,,基本語
1010,創造,そうぞう,,,,,,1,,,,,,基本語
1011,装備,そうび,,,,,,1,,,,,,基本語
1012,層別,そうべつ,,,,,,1,,,,,,基本語
1013,操縦,そうじゅう,,,,,,1,,,,,,基本語
1014,蔵書,ぞうしょ,,,,,,1,,,,,,基本語
1015,臓器,ぞうき,,,,,,1,,,,,,基本語
1016,存続,そんぞく,,,,,,1,,,,,,基本語
1017,尊敬,そんけい,,,,,,1,,,,,,基本語
1018,宅地,たくち,,,,,,1,,,,,,基本語
1019,担任,たんにん,,,,,,1,,,,,,基本語
1020,探検,たんけん,,,,,,1,,,,,,基本語
1021,誕生,たんじょう,,,,,,1,,,,,,基本語
